ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,"Image-URL-L"""""",,,,,,,,,,,,,,,,,,,,,",pdf_link
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,Cypress House,http://images.amazon.com/images/P/1879384493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=wcqK2iNk4FEC&hl=&source=gbs_api
0689821166,Flood : Mississippi 1927,Kathleen Duey,1998,Aladdin,http://images.amazon.com/images/P/0689821166.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689821166.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0689821166.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=vDdAR3aT2ZoC&hl=&source=gbs_api
067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,Fireside,http://images.amazon.com/images/P/067176537X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067176537X.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=RcDCa4TlFs4C&hl=&source=gbs_api
1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998,NTC/Contemporary Publishing Company,http://images.amazon.com/images/P/1853262404.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853262404.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=QKuiIqgSfjoC&hl=&source=gbs_api
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company,http://images.amazon.com/images/P/1853260053.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853260053.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=U-1LyAaWtCoC&hl=&source=gbs_api
0966986105,Prescription for Terror,Sandra Levy Ceren,1999,Andrew Scott Publishers,http://images.amazon.com/images/P/0966986105.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0966986105.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0966986105.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=8bAbQkLnCOUC&hl=&source=gbs_api
0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,http://images.amazon.com/images/P/0671867156.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=uf-3AL4tDFgC&hl=&source=gbs_api
0743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,2003,Free Press,http://images.amazon.com/images/P/0743249992.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743249992.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0743249992.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=GOqLAgAAQBAJ&hl=&source=gbs_api
8476409419,Estudios sobre el amor,Jose Ortega Y Gaset,2001,Downtown Book Center,http://images.amazon.com/images/P/8476409419.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8476409419.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/8476409419.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=_L_OfiGULjIC&hl=&source=gbs_api
039575514X,My Antonia,Willa Cather,1995,Mariner Books,http://images.amazon.com/images/P/039575514X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/039575514X.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/039575514X.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=hXGXc2iPKlUC&hl=&source=gbs_api
0375801677,The Iron Giant,Ted Hughes,1999,Knopf Books for Young Readers,http://images.amazon.com/images/P/0375801677.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375801677.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0375801677.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=lDKoFjT_tT0C&hl=&source=gbs_api
0439510112,Born Confused,Tanuja Desai Hidier,2003,Push,http://images.amazon.com/images/P/0439510112.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439510112.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0439510112.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=xDfxiQ41wFIC&hl=&source=gbs_api
0486415864,Great Expectations (Dover Thrift Editions),Charles Dickens,2001,Dover Publications,http://images.amazon.com/images/P/0486415864.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486415864.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0486415864.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=ONIoAwAAQBAJ&hl=&source=gbs_api
156971620X,Harlequin Valentine,Neil Gaiman,2002,Dark Horse Comics,http://images.amazon.com/images/P/156971620X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/156971620X.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/156971620X.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=kCACDAAAQBAJ&hl=&source=gbs_api
1853260673,Far from the Madding Crowd (Wordsworth Classics),Thomas Hardy,1997,NTC/Contemporary Publishing Company,http://images.amazon.com/images/P/1853260673.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853260673.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/1853260673.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=FQn6uIxMaXEC&hl=&source=gbs_api
0520011171,Sappho: A New Translation,Mary Barnard,1958,University of California Press,http://images.amazon.com/images/P/0520011171.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0520011171.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0520011171.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=FiX8SG72n40C&hl=&source=gbs_api
0684193957,ALL THAT REMAINS,Patricia Cornwell,1992,Scribner,http://images.amazon.com/images/P/0684193957.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684193957.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0684193957.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=YcAaK-gXoFkC&hl=&source=gbs_api
1559703237,Trying to Save Piggy Sneed,John Irving,1996,Arcade Publishing,http://images.amazon.com/images/P/1559703237.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1559703237.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/1559703237.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=-T4zvbP40nEC&hl=&source=gbs_api
0515128554,Heart of the Sea (Irish Trilogy),Nora Roberts,2000,Jove Books,http://images.amazon.com/images/P/0515128554.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515128554.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0515128554.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=VCqTEAAAQBAJ&hl=&source=gbs_api
0743470389,The Snow Garden,Christopher Rice,2004,Pocket Star,http://images.amazon.com/images/P/0743470389.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743470389.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0743470389.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=TsdszX5SkG0C&hl=&source=gbs_api
156718796X,Astral Travel for Beginners (For Beginners),Richard Webster,1998,Llewellyn Publications,http://images.amazon.com/images/P/156718796X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/156718796X.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/156718796X.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=etzxt5vfgvUC&hl=&source=gbs_api
1878424319,The Four Agreements: A Practical Guide to Personal Freedom,Don Miguel Ruiz,1997,Amber-Allen Publishing,http://images.amazon.com/images/P/1878424319.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1878424319.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/1878424319.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=t54LEAAAQBAJ&hl=&source=gbs_api
1853260622,War and Peace (Wordsworth Classics),Leo Tolstoy,1997,NTC/Contemporary Publishing Company,http://images.amazon.com/images/P/1853260622.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853260622.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/1853260622.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=c4HEAN-ti1MC&hl=&source=gbs_api
0486285529,Solv-A-Crime Puzzles (Dover Game and Puzzle Activity Books),A. C. Gordon,1995,Dover Publications,http://images.amazon.com/images/P/0486285529.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486285529.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0486285529.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=_qf0WPXI778C&hl=&source=gbs_api
0671002481,The First Wives Club Movie Tie In,Olivia Goldsmith,1996,Pocket,http://images.amazon.com/images/P/0671002481.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671002481.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0671002481.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=0r3DNmGJjpsC&hl=&source=gbs_api
0740700235,Life Messages: Inspiration For The Woman's Spirit,Josephine Carlton,2002,Andrews McMeel Publishing,http://images.amazon.com/images/P/0740700235.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0740700235.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0740700235.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=cg18Y1a1QrAC&hl=&source=gbs_api
0486281965,The Country of the Pointed Firs (Dover Thrift Editions),Sarah Orne Jewett,1994,Dover Publications,http://images.amazon.com/images/P/0486281965.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486281965.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0486281965.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=icM2DwAAQBAJ&hl=&source=gbs_api
0486292940,Early Poems (Dover Thrift Editions),William Carlos Williams,1997,Dover Publications,http://images.amazon.com/images/P/0486292940.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486292940.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0486292940.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=d6pzBgAAQBAJ&hl=&source=gbs_api
0684824442,REEF,Edith Wharton,1996,Scribner,http://images.amazon.com/images/P/0684824442.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684824442.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0684824442.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=x2eeFjmpNN4C&hl=&source=gbs_api
0486206173,Rubinstein's Chess Masterpieces,Akiba Rubinstein,1941,Dover Publications,http://images.amazon.com/images/P/0486206173.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486206173.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0486206173.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=exIcpnRI1I0C&hl=&source=gbs_api
0451202341,Back Roads,Tawni O'Dell,2001,Signet Book,http://images.amazon.com/images/P/0451202341.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451202341.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0451202341.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=2lBf7Ap5y_cC&hl=&source=gbs_api
0486272664,The Rime of the Ancient Mariner and Other Poems,Samuel Taylor Coleridge,1992,Dover Publications,http://images.amazon.com/images/P/0486272664.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486272664.01.MZZZZZZZ.jpg,"http://images.amazon.com/images/P/0486272664.01.LZZZZZZZ.jpg"""",,,,,,,,,,,,,,,,,,,,,",http://play.google.com/books/reader?id=aA4mDwAAQBAJ&hl=&source=gbs_api
